timestamp_s,frame,idx_in_frame,state,vel_y_px_s,vdrop_ratio,torso_angle_deg,bbox_aspect
7.933,238,0,IDLE,0.000,0.000,31.72,0.442
7.967,239,0,CANDIDATE,710.357,1.480,30.37,1.931
8.000,240,0,CANDIDATE,878.938,1.831,62.94,0.993
8.067,242,0,CANDIDATE,-501.596,-1.045,17.68,1.577
8.100,243,0,CANDIDATE,830.278,1.730,5.79,0.357
8.133,244,0,CANDIDATE,102.930,0.214,16.94,2.067
8.133,244,1,IDLE,0.000,0.000,53.10,1.465
8.167,245,0,IDLE,-952.435,-1.984,47.70,0.978
8.200,246,0,IDLE,9.862,0.021,38.77,1.102
8.233,247,0,IDLE,0.000,0.000,43.42,1.450
8.267,248,0,IDLE,0.000,0.000,37.54,0.850
8.300,249,0,IDLE,-113.320,-0.236,30.00,0.594
8.333,250,0,CANDIDATE,133.895,0.279,19.89,0.467
8.367,251,0,CANDIDATE,-412.787,-0.860,12.24,0.305
8.400,252,0,CANDIDATE,1680.340,3.501,5.71,0.184
8.433,253,0,CANDIDATE,-576.379,-1.201,0.25,0.141
8.467,254,0,CANDIDATE,275.128,0.573,3.54,0.201
8.500,255,0,CANDIDATE,-343.972,-0.717,4.59,0.130
8.533,256,0,CANDIDATE,-167.588,-0.349,5.93,0.149
8.567,257,0,CANDIDATE,-849.960,-1.771,4.37,0.175
8.600,258,0,CANDIDATE,-2.975,-0.006,6.28,0.188
8.633,259,0,CANDIDATE,-589.993,-1.229,7.68,0.170
8.667,260,0,CANDIDATE,262.840,0.548,9.51,0.155
8.700,261,0,CANDIDATE,136.440,0.284,7.60,0.157
8.733,262,0,CANDIDATE,-883.568,-1.841,6.53,0.220
8.767,263,0,CANDIDATE,-99.774,-0.208,6.42,0.183
8.800,264,0,CANDIDATE,-375.756,-0.783,6.32,0.194
12.433,373,0,IDLE,0.000,0.000,0.19,0.153
12.467,374,0,IDLE,0.000,0.000,3.27,0.173
12.500,375,0,IDLE,-1698.408,-3.538,2.66,0.148
12.533,376,0,IDLE,-905.942,-1.887,0.07,0.140
12.567,377,0,IDLE,-1064.477,-2.218,3.54,0.085
12.600,378,0,IDLE,-1002.703,-2.089,0.96,0.094
12.633,379,0,IDLE,-511.060,-1.065,2.01,0.103
12.633,379,1,IDLE,0.000,0.000,0.65,0.106
12.667,380,0,IDLE,-836.899,-1.744,1.73,0.061
12.667,380,1,IDLE,-1267.427,-2.640,3.48,0.126
12.700,381,0,IDLE,-1118.755,-2.331,1.33,0.078
12.733,382,0,IDLE,-248.087,-0.517,1.08,0.123
12.767,383,0,IDLE,-197.814,-0.412,0.56,0.128
12.800,384,0,IDLE,-493.787,-1.029,2.87,0.150
12.833,385,0,IDLE,-314.169,-0.655,2.52,0.080
12.867,386,0,IDLE,-177.751,-0.370,2.04,0.090
12.900,387,0,IDLE,-37.460,-0.078,1.31,0.091
12.933,388,0,IDLE,-179.949,-0.375,1.70,0.166
12.967,389,0,IDLE,-333.639,-0.695,2.57,0.228
13.000,390,0,IDLE,-237.859,-0.496,5.61,0.176
13.033,391,0,IDLE,-166.541,-0.347,10.29,0.241
13.067,392,0,IDLE,4.692,0.010,15.50,0.320
13.100,393,0,IDLE,-145.716,-0.304,37.66,0.420
13.133,394,0,IDLE,0.000,0.000,34.14,0.413
13.133,394,1,IDLE,3.329,0.007,34.45,0.402
13.167,395,0,CANDIDATE,520.379,1.084,72.17,0.454
13.200,396,0,CANDIDATE,452.383,0.942,78.90,0.543
13.233,397,0,CANDIDATE,402.386,0.838,67.04,0.856
13.233,397,1,IDLE,-63.081,-0.131,70.50,0.525
13.267,398,0,CANDIDATE,273.803,0.570,74.36,3.608
13.267,398,1,CANDIDATE,418.468,0.872,7.31,0.622
13.300,399,0,CANDIDATE,-995.831,-2.075,74.13,2.911
13.300,399,1,CANDIDATE,261.066,0.544,13.61,0.575
13.333,400,0,CANDIDATE,-66.785,-0.139,82.21,2.752
13.333,400,1,CANDIDATE,-21.915,-0.046,16.60,0.599
13.367,401,0,CANDIDATE,568.180,1.184,81.06,1.635
13.367,401,1,CANDIDATE,193.272,0.403,20.63,0.598
13.400,402,0,CANDIDATE,180.126,0.375,26.21,0.595
13.433,403,0,CANDIDATE,97.709,0.204,15.43,0.661
13.467,404,0,CANDIDATE,39.041,0.081,14.45,0.669
13.500,405,0,CANDIDATE,82.254,0.171,9.97,0.698
13.533,406,0,CANDIDATE,-76.020,-0.158,21.64,0.807
13.567,407,0,CANDIDATE,8.118,0.017,9.10,0.951
13.600,408,0,FALLEN,-8.936,-0.019,2.93,1.192
13.633,409,0,FALLEN,-11.340,-0.024,13.43,1.251
13.667,410,0,FALLEN,46.098,0.096,10.58,1.196
13.700,411,0,FALLEN,-71.640,-0.149,4.18,1.215
13.733,412,0,FALLEN,72.243,0.151,6.59,1.240
13.767,413,0,FALLEN,-16.343,-0.034,2.06,1.179
13.800,414,0,FALLEN,-58.205,-0.121,12.79,1.169
13.833,415,0,FALLEN,67.153,0.140,18.04,1.241
13.867,416,0,FALLEN,-17.084,-0.036,3.93,1.225
13.900,417,0,FALLEN,11.355,0.024,8.34,1.167
13.933,418,0,FALLEN,-27.842,-0.058,6.79,0.947
13.967,419,0,FALLEN,-144.854,-0.302,43.83,0.725
14.000,420,0,FALLEN,188.195,0.392,20.18,0.522
14.033,421,0,FALLEN,35.677,0.074,8.79,0.506
14.067,422,0,FALLEN,-57.884,-0.121,18.80,0.503
14.100,423,0,FALLEN,-36.920,-0.077,21.07,0.508
14.133,424,0,FALLEN,-29.143,-0.061,24.66,0.526
14.167,425,0,FALLEN,23.493,0.049,24.12,0.533
14.200,426,0,FALLEN,2.415,0.005,25.60,0.534
14.233,427,0,FALLEN,12.189,0.025,25.36,0.503
14.267,428,0,FALLEN,-24.668,-0.051,27.10,0.522
14.300,429,0,FALLEN,24.990,0.052,27.68,0.533
14.333,430,0,FALLEN,-8.432,-0.018,29.05,0.508
14.367,431,0,FALLEN,10.062,0.021,27.48,0.527
14.400,432,0,FALLEN,-35.095,-0.073,26.23,0.522
14.433,433,0,FALLEN,21.528,0.045,27.25,0.509
14.467,434,0,FALLEN,-11.547,-0.024,24.89,0.508
14.500,435,0,FALLEN,-4.574,-0.010,26.21,0.518
14.533,436,0,FALLEN,4.066,0.008,24.54,0.514
14.567,437,0,FALLEN,-8.200,-0.017,23.92,0.525
14.600,438,0,FALLEN,27.553,0.057,27.65,0.520
14.633,439,0,FALLEN,-26.692,-0.056,24.20,0.518
14.667,440,0,IDLE,33.934,0.071,26.43,0.508
14.700,441,0,IDLE,-65.047,-0.136,28.34,0.530
14.733,442,0,IDLE,-23.670,-0.049,26.92,0.519
14.767,443,0,IDLE,-163.729,-0.341,43.31,0.560
14.800,444,0,IDLE,-33.216,-0.069,31.46,0.529
14.833,445,0,IDLE,-107.593,-0.224,23.92,0.494
14.867,446,0,IDLE,-29.877,-0.062,17.89,0.472
14.900,447,0,IDLE,-21.731,-0.045,17.06,0.480
14.933,448,0,IDLE,-124.919,-0.260,25.41,0.512
14.967,449,0,IDLE,42.406,0.088,16.43,0.531
15.000,450,0,IDLE,78.390,0.163,17.08,0.677
15.033,451,0,IDLE,-222.710,-0.464,65.86,1.039
15.067,452,0,IDLE,125.681,0.262,57.09,0.954
15.100,453,0,IDLE,240.606,0.501,26.32,0.697
15.133,454,0,IDLE,-198.201,-0.413,39.09,0.600
15.167,455,0,IDLE,14.088,0.029,23.17,0.534
15.200,456,0,IDLE,14.575,0.030,23.31,0.559
15.233,457,0,IDLE,82.103,0.171,3.63,0.588
15.267,458,0,IDLE,47.751,0.099,10.68,0.501
15.300,459,0,IDLE,90.807,0.189,12.56,0.591
15.333,460,0,IDLE,-9.541,-0.020,7.53,0.606
15.367,461,0,IDLE,-5.499,-0.011,12.18,0.614
15.400,462,0,IDLE,-30.899,-0.064,9.50,0.558
15.433,463,0,IDLE,-5.117,-0.011,10.82,0.619
15.467,464,0,IDLE,73.635,0.153,10.48,0.600
15.500,465,0,IDLE,121.074,0.252,9.94,0.591
15.533,466,0,IDLE,-125.292,-0.261,12.08,0.578
15.567,467,0,IDLE,205.776,0.429,12.02,0.626
15.600,468,0,IDLE,-103.033,-0.215,19.42,0.824
15.633,469,0,IDLE,146.131,0.304,14.48,0.813
15.667,470,0,IDLE,-61.383,-0.128,12.94,0.722
15.700,471,0,IDLE,-55.753,-0.116,7.82,0.817
15.733,472,0,IDLE,-63.279,-0.132,8.56,0.837
15.767,473,0,IDLE,40.971,0.085,8.44,0.900
15.800,474,0,IDLE,40.240,0.084,5.16,0.703
15.833,475,0,IDLE,0.062,0.000,4.96,0.831
15.867,476,0,IDLE,-34.766,-0.072,0.72,0.893
15.900,477,0,IDLE,-20.408,-0.043,10.12,0.990
15.933,478,0,IDLE,-40.108,-0.084,3.89,0.910
15.967,479,0,IDLE,-37.826,-0.079,3.96,0.814
16.000,480,0,IDLE,194.083,0.404,5.64,0.789
16.033,481,0,IDLE,55.063,0.115,12.46,0.690
16.067,482,0,IDLE,-279.005,-0.581,5.76,0.549
